"","OID_","OBJECTID_1","Value","Count","Area"
"731",731,237,5,4,3600
"732",732,237,6,32,28800
"733",733,237,17,12,10800
"734",734,238,1,15,13500
"735",735,238,5,15,13500
"736",736,238,6,4,3600
"737",737,238,15,4,3600
"738",738,238,17,10,9000
"739",739,240,1,29,26100
"740",740,240,5,3,2700
"741",741,240,6,8,7200
"742",742,240,17,4,3600
"743",743,241,1,37,33300
"744",744,241,6,10,9000
"745",745,242,5,4,3600
"746",746,242,6,32,28800
"747",747,242,17,12,10800
"748",748,243,5,4,3600
"749",749,243,6,32,28800
"750",750,243,17,12,10800
"751",751,244,5,4,3600
"752",752,244,6,32,28800
"753",753,244,17,12,10800
"754",754,245,5,4,3600
"755",755,245,6,32,28800
"756",756,245,17,12,10800
"757",757,246,5,4,3600
"758",758,246,6,32,28800
"759",759,246,17,12,10800
"760",760,247,5,4,3600
"761",761,247,6,32,28800
"762",762,247,17,12,10800
"763",763,248,5,4,3600
"764",764,248,6,32,28800
"765",765,248,17,12,10800
"766",766,249,5,4,3600
"767",767,249,6,32,28800
"768",768,249,17,12,10800
"769",769,250,5,4,3600
"770",770,250,6,32,28800
"771",771,250,17,12,10800
"772",772,251,5,4,3600
"773",773,251,6,32,28800
"774",774,251,17,12,10800
"775",775,252,5,4,3600
"776",776,252,6,32,28800
"777",777,252,17,12,10800
"778",778,253,6,44,39600
"779",779,254,5,4,3600
"780",780,254,6,32,28800
"781",781,254,17,12,10800
"782",782,255,1,3,2700
"783",783,255,6,1,900
"784",784,255,15,39,35100
"785",785,255,17,5,4500
"786",786,256,5,9,8100
"787",787,256,6,4,3600
"788",788,256,8,4,3600
"789",789,256,14,27,24300
"790",790,257,15,34,30600
"791",791,257,17,13,11700
"792",792,258,1,8,7200
"793",793,258,5,5,4500
"794",794,258,6,13,11700
"795",795,258,14,9,8100
"796",796,258,17,10,9000
"797",797,259,5,4,3600
"798",798,259,6,32,28800
"799",799,259,17,12,10800
"800",800,260,5,4,3600
"801",801,260,6,32,28800
"802",802,260,17,12,10800
"803",803,261,5,4,3600
"804",804,261,6,32,28800
"805",805,261,17,12,10800
"806",806,262,5,4,3600
"807",807,262,6,32,28800
"808",808,262,17,12,10800
"809",809,263,5,4,3600
"810",810,263,6,32,28800
"811",811,263,17,12,10800
"812",812,264,5,4,3600
"813",813,264,6,32,28800
"814",814,264,17,12,10800
"815",815,265,5,4,3600
"816",816,265,6,32,28800
"817",817,265,17,12,10800
"818",818,266,5,13,11700
"819",819,266,6,30,27000
"820",820,266,15,4,3600
"821",821,266,17,1,900
"822",822,267,5,4,3600
"823",823,267,6,32,28800
"824",824,267,17,12,10800
"825",825,268,5,4,3600
"826",826,268,6,32,28800
"827",827,268,17,12,10800
"828",828,269,5,4,3600
"829",829,269,6,32,28800
"830",830,269,17,12,10800
"831",831,270,5,4,3600
"832",832,270,6,32,28800
"833",833,270,17,12,10800
"834",834,271,5,15,13500
"835",835,271,6,21,18900
"836",836,271,17,10,9000
"837",837,272,5,4,3600
"838",838,272,6,32,28800
"839",839,272,17,12,10800
"840",840,273,5,4,3600
"841",841,273,6,32,28800
"842",842,273,17,12,10800
"843",843,274,5,4,3600
"844",844,274,6,32,28800
"845",845,274,17,12,10800
"846",846,275,1,17,15300
"847",847,275,5,13,11700
"848",848,275,6,4,3600
"849",849,275,15,1,900
"850",850,275,17,10,9000
"851",851,276,1,35,31500
"852",852,276,6,10,9000
"853",853,277,1,26,23400
